"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"UBE2N",2.16610747590141e-05
"AL049988",2.16821328022171e-05
"ATAD1",2.16821328022171e-05
"MEG3",2.17613522525902e-05
"COX1",2.17613522525902e-05
"CEP85L",2.18557807411227e-05
"KIAA1211",2.18636090113399e-05
"DERL1",2.18636090113399e-05
"CA420494",2.20858531900125e-05
"AW880875",2.21164388968983e-05
"FAM168A",2.22040747107678e-05
"HIPK2",2.22040747107678e-05
"NFIB",2.24599548802273e-05
"MAD2L1",2.24599548802273e-05
"N34402",2.24863359996969e-05
"RPS19",2.25915222800596e-05
"KLHDC8B",2.28551778977001e-05
"SMARCE1",2.30686170393104e-05
"CYP26B1",2.32108384034673e-05
"MMP16",2.32108384034673e-05
"LOC101928269",2.34959885168447e-05
"SMARCD3",2.35005284586117e-05
"KLRD1",2.38780851718959e-05
"CACNA1B",2.38780851718959e-05
"DAP",2.44331624830283e-05
"YBX1",2.44935927223259e-05
"C1RL",2.46621290752169e-05
"DUSP6",2.47567934817561e-05
"ZFP36L2",2.51391654222581e-05
"RELL1",2.51464115605491e-05
"CYGB",2.52626436170876e-05
"TFEB",2.52626436170876e-05
"P4HB",2.53479798002674e-05
"PPP1R21",2.54216784594045e-05
"NFIB",2.54216784594045e-05
"AU147253",2.54366281224103e-05
"HTATSF1",2.54986162174013e-05
"S100A16",2.5707241714437e-05
"MIR21",2.5707241714437e-05
"PLBD2",2.58430149625768e-05
"TDRD9",2.59577045328249e-05
"LOC101930531",2.6039867854695e-05
"MIR612",2.63138460495975e-05
"SPCS3",2.64114296410239e-05
"R71414",2.64114296410239e-05
"LTBP1",2.64114296410239e-05
"RBM24",2.64489971290445e-05
"APH1B",2.67735800954154e-05
"MBD5",2.68355157483598e-05
"COL6A2",2.68355157483598e-05
"NAMPT",2.68508369481766e-05
"LHFPL4",2.70149931579588e-05
"SUPT4H1",2.71039145412133e-05
"GABARAPL3",2.71883831614652e-05
"C14640",2.72169501985413e-05
"DNM3",2.72169501985413e-05
"NR4A2",2.77779681878837e-05
"TLE3",2.77779681878837e-05
"CBS",2.77779681878837e-05
"RANBP1",2.79263580373944e-05
"HDLBP",2.81331950186048e-05
"NARR",2.83269204821184e-05
"BNIP2",2.83269204821184e-05
"PAQR8",2.83269204821184e-05
"DLEC1",2.834234220438e-05
"CALU",2.834234220438e-05
"COL9A2",2.83464817715778e-05
"YIPF5",2.83464817715778e-05
"RAB20",2.85637893007823e-05
"ATF3",2.86897612206026e-05
"KIAA0513",2.89028338355021e-05
"SEC22A",2.89028338355021e-05
"RDH10",2.89669075316428e-05
"TMEM163",2.91103510198585e-05
"TRIP6",2.91480624070277e-05
"TMEM39A",2.9490629282298e-05
"SLC45A3",2.95639092769727e-05
"C1GALT1C1",2.96859468874354e-05
"USP13",2.99321576829563e-05
"AW274946",3.01688143269787e-05
"221205_at",3.03889322810365e-05
"CD99",3.0392747923915e-05
"CDK2AP2",3.07343016298461e-05
"LINC01105",3.08754087943852e-05
"DNAJB9",3.09338369516074e-05
"CTXN3",3.09338369516074e-05
"RIPK4",3.11444955493661e-05
"GTF2E1",3.1234011387362e-05
"NUDT4",3.1234011387362e-05
"TMEM178A",3.15664973945501e-05
"SLC12A5",3.17486580389108e-05
"IRAK3",3.21964187664773e-05
"FAM3C",3.24447386056923e-05
"NLGN1",3.24975447705532e-05
"IDH3B",3.2663491895412e-05
"KBTBD4",3.32654876658168e-05
"RAB13",3.37205405712875e-05
"SYNGR1",3.3749960331335e-05
"AA524123",3.39109133073363e-05
"242556_at",3.39215847193659e-05
"CELF4",3.39215847193659e-05
"OLFM1",3.42072358707946e-05
"ARHGEF12",3.42079518942899e-05
"DCN",3.42684596237179e-05
"KLHL2",3.42684596237179e-05
"BOK",3.42684596237179e-05
"ARHGAP36",3.42684596237179e-05
"AKAP6",3.44351870685559e-05
"PIAS1",3.44592763015369e-05
"LOC105375839",3.45096886687555e-05
"RPS19",3.47393306833521e-05
"GOLGA2",3.47938811190493e-05
"240892_at",3.48587084922617e-05
"PARL",3.49994049642241e-05
"SHC1",3.51417466177287e-05
"BLM",3.52659426570087e-05
"ARHGEF28",3.52659426570087e-05
"MGP",3.52696737708601e-05
"DCN",3.54339513316491e-05
"ATP5B",3.59711819391602e-05
"R69245",3.62199143706203e-05
"LGALS3",3.62199143706203e-05
"MAGI1",3.65379032936613e-05
"MTERF4",3.65379032936613e-05
"LOC100507431",3.65379032936613e-05
"BEND5",3.65542244082429e-05
"MRPL10",3.65542244082429e-05
"DIAPH1",3.71334495428556e-05
"AI421677",3.77498691933937e-05
"CREM",3.79262059144033e-05
"TFPI",3.81731207846971e-05
"AMN1",3.8327935182446e-05
"MPP2",3.8327935182446e-05
"RAB31",3.85189489347777e-05
"MEG3",3.86137164782465e-05
"SNORD50B",3.86137164782465e-05
"HM13",3.89260928347296e-05
"ARFGAP1",3.91516994424196e-05
"SLC8A1",3.91516994424196e-05
"AK021749",3.93109670882346e-05
"EPS8",3.94550563826737e-05
"GAL",4.0555948706878e-05
"ORC5",4.06875697629457e-05
"WWTR1",4.09965360144374e-05
"ZFP36L1",4.09965360144374e-05
"HDLBP",4.11255566205382e-05
"KIAA1549L",4.12351987888427e-05
"SSBP2",4.15839986505856e-05
"SLC10A3",4.17559404642193e-05
"PPP2R1A",4.17559404642193e-05
"SLC6A15",4.1907306469409e-05
"CD276",4.21974742982899e-05
"VWA3A",4.29219672561514e-05
"C6orf136",4.2973931515165e-05
"ADM",4.30274889888462e-05
"CHID1",4.38013494365152e-05
"SSR3",4.38013494365152e-05
"MCM2",4.38013494365152e-05
"FAM43A",4.38013494365152e-05
"SH3D19",4.40434607665841e-05
"POLR1B",4.4095030170588e-05
"MAP7D2",4.4095030170588e-05
"DLEC1",4.4095030170588e-05
"NRXN1",4.4095030170588e-05
"IFT20",4.4095030170588e-05
"ZBTB21",4.43142962537429e-05
"CUTC",4.43142962537429e-05
"CXCR4",4.43265978703142e-05
"MRPL9",4.50075654624004e-05
"HACD4",4.50075654624004e-05
"TIMP4",4.50075654624004e-05
"RGS16",4.50735852766237e-05
"PAPPA2",4.50773644835436e-05
"BG231709",4.51831445119495e-05
"DNAJC1",4.52078636965769e-05
"IGSF5",4.53608961932501e-05
"DNAH5",4.56124988678147e-05
"ACER3",4.56600016603241e-05
"LRP5",4.56600016603241e-05
"SAR1B",4.57325212824765e-05
"EPHA10",4.57325212824765e-05
"RPGR",4.58954177943588e-05
"UMPS",4.6016974360431e-05
"TRIB3",4.61935561729867e-05
"CLASP2",4.61935561729867e-05
"TNFSF13",4.61935561729867e-05
"LOC654342",4.64639652513757e-05
"NREP",4.65297965058599e-05
"TFE3",4.73204813794692e-05
"RNASE4",4.74368055856285e-05
"PRKG1",4.75872312100909e-05
"MYO7A",4.78785668951872e-05
"C14898",4.78785668951872e-05
"LRRN3",4.79127637680988e-05
"LOC101930416",4.79735929586242e-05
"PITX1",4.81233969963477e-05
"WIPI1",4.81233969963477e-05
"PKIB",4.81233969963477e-05
"C12orf76",4.82028161803304e-05
"PAK3",4.82304663122185e-05
"MRPL30",4.84245740578723e-05
"RPS6KA2",4.84451779258875e-05
"ITPR3",4.84451779258875e-05
"CDKN2A",4.85959155146549e-05
"CA10",4.85991036724475e-05
"ITPR2",4.85991036724475e-05
"HERC5",4.86743561212644e-05
"CIAPIN1",4.87545393532665e-05
"KIF11",4.87545393532665e-05
"ASS1",4.88314368546643e-05
"WDR70",4.8853849669641e-05
"C1QTNF4",4.88649449095682e-05
"LOC101929289",4.88649449095682e-05
"AI806045",4.91045367810637e-05
"ANKFY1",5.01337550852581e-05
"TMEM246",5.01337550852581e-05
"VRK1",5.02829070777027e-05
"MIR612",5.02829070777027e-05
"PELI1",5.03505443079807e-05
"BDNF",5.03801298954783e-05
"SAT1",5.0398523506226e-05
"243931_at",5.07778754735529e-05
"SMIM7",5.07778754735529e-05
"PXN-AS1",5.07778754735529e-05
"DUSP5",5.07778754735529e-05
"RAB27A",5.10984867299415e-05
"BIRC5",5.15696343998906e-05
"RMND1",5.16198941585916e-05
"LATS2",5.16198941585916e-05
"OSBPL9",5.16544773066702e-05
"EMP1",5.16849203237574e-05
"PDK2",5.18032264335474e-05
"UQCRC2",5.19572399849815e-05
"DCN",5.19572399849815e-05
"R43486",5.19572399849815e-05
"HCFC1R1",5.19572399849815e-05
"IPO9",5.19673806015392e-05
"MIR612",5.19673806015392e-05
"CDH8",5.21636417948571e-05
"FRG1CP",5.21636417948571e-05
"SLC29A1",5.24111794189487e-05
"LAMA5",5.24111794189487e-05
"PLEKHA5",5.26777479160399e-05
"TGOLN2",5.27034072137365e-05
"PARK2",5.35591320641684e-05
"ARHGEF10",5.35591320641684e-05
"CUL3",5.41784512832152e-05
"STMN1",5.41784512832152e-05
"CREM",5.41784512832152e-05
"CERS6",5.41784512832152e-05
"EPS15",5.41994319625974e-05
"SLC2A10",5.46260998951168e-05
"LITAF",5.49163767189815e-05
"ITGBL1",5.54137390695049e-05
"CAPRIN1",5.54282246350007e-05
"CALM3",5.56250499850164e-05
"FAM181B",5.58582454448131e-05
"SORBS2",5.60459250731794e-05
"MAP2K4",5.61210521402174e-05
"S100A6",5.61210521402174e-05
