"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"SYT7",6.99857690319168e-08
"CACNA2D1",7.21495801541181e-08
"TMSB10",7.28297905782198e-08
"IRAK3",7.28297905782198e-08
"LOC100129550",7.40926980991257e-08
"ATAD1",7.42603078089849e-08
"FKBP11",7.72545249507457e-08
"SRPRB",7.76231494169976e-08
"AA569225",7.91609490745057e-08
"AI222435",7.98252446400022e-08
"CLCN5",7.98978816902519e-08
"ERN1",8.09774270551578e-08
"GAS1",8.13996897610257e-08
"MAFF",8.16111787572945e-08
"SEZ6L",8.16900344919476e-08
"P4HB",8.65032286801866e-08
"TLE3",8.65032286801866e-08
"GNB3",8.80704372328432e-08
"PXDN",9.01561828751443e-08
"ZFP36L2",9.0700399343586e-08
"PEX19",9.26642791617915e-08
"NAMPT",9.37200547596091e-08
"FAM98A",9.44946182639917e-08
"FAM114A1",9.56229245401268e-08
"LOC100653247",9.58330074979217e-08
"CAMK2N1",9.58330074979217e-08
"PAK5",9.63602566761955e-08
"MOCOS",9.64235346832995e-08
"SPAG7",9.70889937111783e-08
"AU147253",9.72702401758998e-08
"CDH8",9.72702401758998e-08
"SEZ6L",9.7744155579466e-08
"N66045",9.9151252889785e-08
"HES1",9.97171388889645e-08
"FMN2",9.98510050585726e-08
"KIF5C",9.98510050585726e-08
"IGFBP5",1.00760673699832e-07
"HEPACAM2",1.01172962666226e-07
"GLIS3",1.04141751752125e-07
"TFEB",1.04141751752125e-07
"GOLGA2",1.0489675384743e-07
"PMAIP1",1.06310287608764e-07
"GH2",1.06310287608764e-07
"NISCH",1.07364347097061e-07
"NCSTN",1.13864899946953e-07
"TMEM33",1.15125044203686e-07
"ITPR2",1.15125044203686e-07
"242836_at",1.15493589392724e-07
"DFNA5",1.17000572223549e-07
"OR7A5",1.17078298821616e-07
"NR4A2",1.17376418579618e-07
"SIMC1",1.18641530655274e-07
"ABHD14A",1.2006145869118e-07
"PELI1",1.22013877975471e-07
"NDFIP2",1.22260826526134e-07
"ADAM28",1.22733639229802e-07
"SLC12A5",1.23077113937342e-07
"BRMS1L",1.23105112083862e-07
"SQSTM1",1.2338717890719e-07
"KIAA1661",1.24083700581259e-07
"IRF7",1.24959672850346e-07
"STMN1",1.25622038046502e-07
"SULF2",1.26433765417589e-07
"FKBP14",1.2652434630546e-07
"ACO2",1.2652434630546e-07
"241824_at",1.2652434630546e-07
"CHID1",1.28133610121206e-07
"1561181_at",1.2855266075909e-07
"JUNB",1.29586110417131e-07
"THBD",1.31609580053532e-07
"FOXO1",1.32265312775577e-07
"FBN2",1.34055977892301e-07
"RPRD2",1.34055977892301e-07
"SLC35F1",1.34055977892301e-07
"OSMR",1.34055977892301e-07
"DERL1",1.36433062678078e-07
"YIPF5",1.36433062678078e-07
"MEG3",1.3643684843509e-07
"KDELR2",1.3643684843509e-07
"SEZ6L",1.39414731963058e-07
"LAMA5",1.39414731963058e-07
"ADH1B",1.41014870132356e-07
"CAB39L",1.41231541706322e-07
"PRELP",1.42003918439108e-07
"ANKRD50",1.43154996673285e-07
"BLM",1.43272322024287e-07
"PELI1",1.43272322024287e-07
"STAT3",1.44123375060965e-07
"PAK3",1.46618864490209e-07
"SGCD",1.46618864490209e-07
"PTCHD1",1.47197945489402e-07
"TRAM1",1.49948922572652e-07
"R43486",1.50318514433715e-07
"AW384895",1.50653939661979e-07
"IDH3A",1.5205096242152e-07
"SMARCD3",1.5205096242152e-07
"KBTBD4",1.52077275862768e-07
"RMND1",1.55299607985285e-07
"SYNGR1",1.55299607985285e-07
"DLEC1",1.59181968542595e-07
"TNFSF13",1.61712175890706e-07
"FDFT1",1.62760905938953e-07
"RXRA",1.63937158491333e-07
"RCAN2",1.64841937945999e-07
"COX1",1.6518658665457e-07
"AK021749",1.6748602579713e-07
"RNF139-AS1",1.68499340884831e-07
"TUBB6",1.68546544862447e-07
"WDR78",1.68546544862447e-07
"RAB11FIP1",1.68546544862447e-07
"DLEC1",1.70132453986065e-07
"ZSCAN16-AS1",1.72276125498464e-07
"ITPR2",1.72276125498464e-07
"RWDD4",1.72276125498464e-07
"AI806045",1.74215848282576e-07
"GLCE",1.75432721008429e-07
"AI421677",1.77132310537126e-07
"PRL",1.8064603329143e-07
"ZNF200",1.8224842429064e-07
"IPCEF1",1.82359128743231e-07
"U2AF1",1.83374323063062e-07
"CACNA1B",1.83899222222169e-07
"ARMCX5-GPRASP2",1.85796002825018e-07
"SLC6A15",1.85796002825018e-07
"TMEM45A",1.86404709945932e-07
"ACOT1",1.87461004699067e-07
"CNR1",1.91641113837578e-07
"PDGFRL",1.92769648083213e-07
"ATF3",1.96200192054817e-07
"ACER3",1.98934977560101e-07
"240991_at",1.99530503105112e-07
"BOK",2.01107781587545e-07
"N34402",2.04156009636169e-07
"HMG20A",2.04156009636169e-07
"SNX12",2.04156009636169e-07
"ZBTB21",2.04304091023632e-07
"RAB20",2.05952744866889e-07
"CYFIP2",2.07332023483069e-07
"CTXN3",2.07543241898006e-07
"PHYHIP",2.07790680301153e-07
"CD83",2.08637826208373e-07
"OGFOD3",2.09165763211305e-07
"PLEKHA5",2.12621715052651e-07
"FXYD1",2.12621715052651e-07
"OSBPL9",2.12621715052651e-07
"C9orf3",2.17017717638499e-07
"LRRN3",2.17420064752506e-07
"OLFM1",2.18726872202385e-07
"NAT14",2.19749467008022e-07
"DOLK",2.23578630053733e-07
"PITX2",2.24301740976127e-07
"MAPRE2",2.25201017676055e-07
"CERS6",2.25485632997818e-07
"FKBP14",2.29791043338003e-07
"221205_at",2.30202308801753e-07
"USP13",2.30705111359349e-07
"COL6A6",2.32000393647177e-07
"LINC00963",2.32640508133767e-07
"ZCCHC24",2.34157294231125e-07
"HDLBP",2.34276718949514e-07
"IFNGR2",2.36446906449711e-07
"GAMT",2.36446906449711e-07
"SLC8A1",2.3828257039328e-07
"KLHL2",2.3828257039328e-07
"MFSD14B",2.3828257039328e-07
"LOC101930349",2.38564499342915e-07
"CORO1C",2.39082712613834e-07
"SOX7",2.3931471967715e-07
"CERS6",2.39484031161372e-07
"CAB39L",2.39484031161372e-07
"ZNF14",2.42744716689481e-07
"FSD1L",2.44299806065544e-07
"C14640",2.44299806065544e-07
"TSEN34",2.44299806065544e-07
"RNF7",2.45860398758812e-07
"TIGD5",2.48090367151351e-07
"PELI1",2.48779140027309e-07
"ITPR3",2.48876178646366e-07
"CLASP2",2.51212886218353e-07
"ARFGAP1",2.51212886218353e-07
"RBPMS",2.5594101447618e-07
"SERP1",2.60266554569642e-07
"FAM27E2",2.63489337025249e-07
"DNAJA2",2.63489337025249e-07
"CHST4",2.66752581537226e-07
"GM2A",2.68391901875967e-07
"FRY",2.68391901875967e-07
"KIAA1211",2.68391901875967e-07
"EPHA10",2.68695576597158e-07
"PTPN14",2.76592063495902e-07
"LOC100507431",2.79957024158125e-07
"HTATIP2",2.80487145601309e-07
"RPGR",2.80487145601309e-07
"CLASP2",2.80487145601309e-07
"NREP",2.80668646888307e-07
"C6orf136",2.81544605245553e-07
"RGS16",2.81544605245553e-07
"FAIM2",2.82083756476018e-07
"WDR37",2.82615470159732e-07
"ARFIP1",2.83749249036511e-07
"PSME3",2.86626163082625e-07
"TRIOBP",2.88193761962092e-07
"ETS2",2.89431910775047e-07
"HDLBP",2.92613170944645e-07
"HTATSF1",2.92613170944645e-07
"CBS",2.96067928912398e-07
"ADCY5",2.98125830952942e-07
"COL9A2",2.98125830952942e-07
"STRIP2",2.98125830952942e-07
"DPYSL3",2.98125830952942e-07
"RARRES1",2.98125830952942e-07
"NDFIP1",2.9830692198824e-07
"MEG3",3.01025275005903e-07
"LRP5",3.02832049421592e-07
"METRNL",3.05269291093356e-07
"DOK6",3.05436235361466e-07
"AA079839",3.0544731963921e-07
"GAL",3.0544731963921e-07
"TWIST1",3.0544731963921e-07
"WDR47",3.07738369910048e-07
"LRRTM2",3.07738369910048e-07
"IER2",3.07738369910048e-07
"MEG3",3.07980594731925e-07
"KLF6",3.07980594731925e-07
"DPYSL3",3.09274553986226e-07
"HTATIP2",3.10032604510005e-07
"POMGNT2",3.12732350776478e-07
"PCBP4",3.12732350776478e-07
"SSR3",3.12732350776478e-07
"SHC1",3.12732350776478e-07
"AK074440",3.12732350776478e-07
"FSD1L",3.14151605584238e-07
"GCLC",3.14151605584238e-07
"KLRD1",3.147875940892e-07
"SPCS3",3.16305062493192e-07
"OGFOD1",3.1946507245108e-07
"NECTIN3",3.2207329729756e-07
"AA523939",3.24891512129687e-07
"P4HB",3.26739273249088e-07
"PPP1R21",3.26739273249088e-07
"SSBP2",3.28142838239558e-07
"FAM84B",3.28142838239558e-07
"SNCB",3.34537733943706e-07
"AI475033",3.34537733943706e-07
"TMED5",3.35638355320788e-07
"LINC01315",3.37538361751845e-07
"ADAMTSL1",3.42105586183993e-07
"AGK",3.46764032781834e-07
"BTG2",3.47059551435726e-07
"MIR7114",3.47835935073051e-07
"SEPSECS-AS1",3.53871124634241e-07
"EMP2",3.59815107490901e-07
