"geneNames.as.numeric.rownames.res2_coef1...","res2_coef1.logFC","res2_coef1.adj.P.Val"
"FAM224A",0.533655,0.420589201732295
"ZDHHC11",-0.580084166666667,0.420589201732295
"AA417099",1.94926416666667,0.420589201732295
"KCNN3",-0.8198975,0.420739851981846
"ATF3",1.66572,0.421570312005783
"LOC101927137",-0.628489166666666,0.421570312005783
"RFT1",0.548649166666667,0.426008023375659
"PTGDS",-1.4384775,0.448015883055395
"PHBP19",-0.724443333333333,0.474298144626885
"C7orf43",-0.5202575,0.474298144626885
"CLEC14A",-0.56381,0.474298144626885
"ZNF764",-0.5533675,0.474298144626885
"AF090916",1.0843325,0.474298144626885
"ARSD",-0.694135833333334,0.486397999548595
"KMT2D",0.556745833333333,0.486397999548595
"NDUFB4",-0.3874725,0.486397999548595
"EGR1",1.97006333333333,0.490015802633932
"CXorf36",-0.59199,0.490015802633932
