"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"TP53TG1",3.08924466483995e-09
"CDH22",3.09164979227956e-09
"NAB1",3.18428549762464e-09
"FAM220A",3.29711906032131e-09
"RNH1",3.29711906032131e-09
"HIP1R",3.39355336950389e-09
"REPS1",3.41643837251154e-09
"TPCN1",3.42712303509166e-09
"HADH",3.44383282965076e-09
"TRMT1",3.44383282965076e-09
"AA932692",3.4548664007614e-09
"DGCR7",3.46294623663849e-09
"LOC102725292",3.48587421217911e-09
"EPG5",3.52048239710283e-09
"TMLHE",3.61197935895008e-09
"LRRC15",3.77014346185353e-09
"KRT81",3.84333251504426e-09
"PPP2R5E",4.0870441380462e-09
"GRTP1",4.0870441380462e-09
"RABL3",4.1108542418545e-09
"DCUN1D5",4.1108542418545e-09
"AA524123",4.21735098185491e-09
"HCN3",4.29905191668287e-09
"FOXE1",4.29905191668287e-09
"EMSY",4.49694178882515e-09
"TAF1C",4.49863283825127e-09
"CEP89",4.49863283825127e-09
"PSMD2",4.54797913419441e-09
"DIO3",4.54797913419441e-09
"CD96",4.59177334583648e-09
"NOTCH2",5.05991296228698e-09
"CCDC85A",5.07383990387376e-09
"ABCC3",5.07383990387376e-09
"GTF2F2",5.07383990387376e-09
"CDT1",5.2062554063783e-09
"ERMAP",5.2062554063783e-09
"NUFIP2",5.27136955053278e-09
"BC020904",5.63210081421379e-09
"243037_at",5.73052817677256e-09
"ILDR1",5.73052817677256e-09
"NAP1L1",5.73892015188309e-09
"MARCH10",5.82117531291812e-09
"STK38",5.92037692039554e-09
"TRAFD1",5.94230264535043e-09
"GNE",6.02495573838812e-09
"IVD",6.0859569127434e-09
"240324_at",6.0859569127434e-09
"DKFZP434L187",6.0859569127434e-09
"ZBTB32",6.16387200240507e-09
"BC033528",6.16387200240507e-09
"TGFBR3",6.25767660490245e-09
"SLC16A5",6.29324399354834e-09
"THAP12",6.40355978595217e-09
"TMEM72",6.42109797720048e-09
"SLC12A4",6.5754311165147e-09
"NPPC",6.5754311165147e-09
"GINS4",6.5754311165147e-09
"ADPRM",6.87527746888384e-09
"HCN2",6.96885099537575e-09
"LOC100507520",7.33664502272237e-09
"BTC",7.33664502272237e-09
"TFDP1",7.33664502272237e-09
"DRC3",7.46116513742237e-09
"PPIL6",7.48630460571565e-09
"LOC101930416",7.56736915903844e-09
"LINC01348",7.56736915903844e-09
