"geneNames.as.numeric.rownames.res_coef2...","res_coef2.logFC","res_coef2.adj.P.Val"
"MOB3A",0.915924833333332,0.554103829804418
"AW771190",2.12868583333333,0.568840448238124
"ZNF597",1.02052966666666,0.569367609095437
"SCG3",-1.69368833333334,0.569367609095437
"AI042377",2.013522,0.569367609095437
"ARL4D",-2.870284,0.569367609095437
"LAMC2",-3.10588766666667,0.569367609095437
"AA496222",1.9878415,0.569367609095437
"RHOBTB3",2.68524266666666,0.569367609095437
"SETD4",1.62834216666666,0.569367609095437
"BF111326",-4.98808116666667,0.569367609095437
"MYL5",3.00671666666666,0.569367609095437
"DNAJC15",-1.25962633333334,0.569367609095437
"LTBP3",1.33068816666666,0.569367609095437
"SLC35G1",-3.00547816666667,0.569367609095437
"FARP2",1.53546633333333,0.569367609095437
"COL25A1",1.54391783333333,0.569367609095437
"PARK2",0.648940499999996,0.569367609095437
"ACAT1",0.770926166666666,0.569367609095437
"PIM3",-1.44912133333334,0.571343724867561
"AL038973",1.26807483333333,0.573673882555371
"MIR1306",1.80670433333333,0.573673882555371
"SPPL3",1.8584945,0.601810827387711
"EHD3",0.652229333333333,0.601810827387711
"LOC728342",3.41530583333333,0.601810827387711
"XDH",0.621736999999999,0.601810827387711
"TRAF3IP2-AS1",1.48875366666667,0.601810827387711
"BC007113",1.926992,0.601810827387711
"ZNF391",1.45754216666667,0.601810827387711
"MCTS1",2.18730716666666,0.601810827387711
"ALG9",1.43348933333333,0.601810827387711
"MORF4L2-AS1",2.91210366666666,0.601810827387711
"AK025321",1.14205633333333,0.604967391030215
"EMC3-AS1",1.05746366666667,0.604967391030215
"AV706184",1.180396,0.604967391030215
"SAMD5",2.6224055,0.61199692298261
"SH2D3C",-1.9292485,0.61199692298261
"EXD3",0.912745833333332,0.61199692298261
"FAM156B",1.54513066666666,0.61199692298261
"TRIOBP",1.14667616666666,0.617735780497457
"231086_at",1.84670516666667,0.617735780497457
"WHSC1",1.09596116666666,0.617735780497457
"AK024918",0.633417999999999,0.619726971492264
"LOC101930388",-1.15667616666667,0.619726971492264
"STRBP",-1.1993995,0.619726971492264
"EPC1",1.446807,0.619726971492264
"NMNAT2",-1.48387116666667,0.619726971492264
"HNRNPDL",1.12759066666666,0.619726971492264
"240892_at",1.58209483333333,0.619726971492264
"SFT2D3",-1.50749583333334,0.619726971492264
"PRSS53",1.427433,0.619726971492264
"NR2C1",0.711961166666663,0.619726971492264
"TSHZ3",4.68932966666666,0.619726971492264
"ARFGAP1",1.456738,0.619726971492264
"CDS1",-1.53863883333334,0.619726971492264
"SMURF2",-0.848126500000001,0.619726971492264
"GLI2",3.08772416666666,0.619726971492264
"CBX3",-1.01661166666667,0.619726971492264
"TWF1",-1.12084383333334,0.619726971492264
"TUBB2B",-2.73307216666667,0.619726971492264
"FAM126A",-3.062322,0.619726971492264
"TGFBR3",-4.756554,0.619726971492264
"SPPL3",1.31982666666667,0.619726971492264
"SH3D19",2.053379,0.622633487356366
"BC035700",2.021042,0.627014624653281
"PEX5L",-3.43776933333334,0.627336980699961
"TPH2",0.835727333333331,0.631194236298262
"PPOX",1.55820549999999,0.631194236298262
"SKIV2L2",0.766971333333325,0.631194236298262
"WWC1",-2.4160275,0.631194236298262
"ASB4",-5.1185885,0.631194236298262
"CA314425",2.01474633333333,0.631194236298262
"SZT2",1.38061799999999,0.631194236298262
"BE178502",1.98191366666667,0.631194236298262
"BCL6",-3.33311416666667,0.631194236298262
"ZSCAN2",1.543119,0.631194236298262
"PPM1L",-1.33297333333334,0.631194236298262
"MIR4738",2.0152445,0.631194236298262
"GPCPD1",2.61325933333333,0.631194236298262
"LOC101930112",1.16896866666666,0.631194236298262
"SOCS2-AS1",4.50993916666666,0.631194236298262
"MTDH",-1.07638300000001,0.631194236298262
"SPCS3",-1.94738550000001,0.631194236298262
"PLEKHA7",2.91132983333333,0.631194236298262
"BRICD5",1.89938166666667,0.631194236298262
"LOC101060604",0.882445499999998,0.631194236298262
"CCDC6",-1.47154100000001,0.63405679853554
"TP53RK",-1.28016016666667,0.63405679853554
"FLJ42627",1.4925115,0.63405679853554
"RAB6B",2.28512216666666,0.63405679853554
"CAST",-1.379136,0.63405679853554
"IDNK",1.8459105,0.63405679853554
"AA682425",1.028292,0.63405679853554
"DAG1",1.071879,0.63405679853554
"DHX35",1.644174,0.63405679853554
"TANC2",-1.933005,0.63405679853554
"TC2N",-3.07958933333333,0.63405679853554
"AW086258",1.14682233333333,0.63405679853554
"SESN3",-3.29559416666667,0.63405679853554
"EP300",1.25795266666666,0.63405679853554
"CAMK1",1.95588933333333,0.63405679853554
"KLHL8",-1.70985083333334,0.63405679853554
"ARNT2",1.13996566666666,0.63405679853554
"SLC16A7",-2.3523165,0.63405679853554
"IRF6",-3.35744783333334,0.63405679853554
"AI569997",1.62068316666666,0.63405679853554
"AU147218",0.699782499999997,0.63405679853554
"BOK",-0.898163833333337,0.63405679853554
"MUM1",1.34258133333333,0.63405679853554
"RASEF",-4.05445850000001,0.63405679853554
"ZNF266",1.54129899999999,0.63405679853554
"VPS37A",-1.211354,0.63405679853554
"PPM1L",-2.06919333333334,0.63405679853554
"ITIH4",2.18387883333333,0.63405679853554
"MAGI1",2.049861,0.63405679853554
"TSC22D4",2.16265283333333,0.63405679853554
"AI189822",1.37002416666666,0.63405679853554
"AV764378",0.922880666666664,0.635910040892491
"AA340499",1.39632183333333,0.640747737127559
"STXBP5",-0.89902916666667,0.64791506551246
"MRPL50",-1.19570166666667,0.652489793415083
"FAM84B",1.30094033333333,0.652489793415083
"PLA2G1B",6.688631,0.652489793415083
"RBM18",1.18733749999999,0.652489793415083
"OR7E12P",0.543895166666665,0.652489793415083
"S100A13",-2.81680666666667,0.652489793415083
"SEC14L4",0.974440666666666,0.652489793415083
"PLEKHA3",-1.04439583333333,0.652489793415083
"EML4",1.66837483333333,0.652489793415083
"BF433156",1.35966583333333,0.652489793415083
"HSDL2",-1.976653,0.652489793415083
"PIN4",1.03849266666666,0.652489793415083
"BIRC3",-2.41078816666667,0.652489793415083
"MCOLN3",-5.57766966666667,0.652489793415083
"COX10-AS1",1.40372083333333,0.655747890540852
"MAGI1",2.42865733333333,0.655747890540852
"AL122039",-1.532694,0.655747890540852
"ATPAF1",-0.898208666666669,0.660543072060262
"AI032090",0.734421833333331,0.665571317179447
"KLHL2",-1.18312333333334,0.666060897357362
"RBSN",0.776973666666665,0.666817961703147
"USP32",-1.11072833333334,0.666817961703147
"AGPAT5",-0.889776666666672,0.673080688442868
"C10orf99",0.579889499999998,0.676195021989118
"WDFY2",1.11828816666666,0.677015680120194
"FSTL5",-7.89681950000001,0.677015680120194
"LINC00667",2.51665333333333,0.677015680120194
"SOX6",1.89227666666666,0.677015680120194
"COBLL1",1.15345916666667,0.677015680120194
"FLJ10038",1.270617,0.677015680120194
"ZNF343",1.225453,0.677015680120194
"IGDCC4",4.3709385,0.677015680120194
"CHST8",2.1671315,0.677015680120194
"LOC100630923",0.921334833333331,0.677015680120194
"FBXL17",1.94170783333333,0.677015680120194
"CCNL2",0.986486999999999,0.678372533433192
"PDZD4",-1.61524550000001,0.680884231102785
"AI523391",0.752708333333332,0.686204465329577
"PNPLA8",-0.965201000000002,0.686204465329577
"FXYD6",-5.78711200000001,0.686204465329577
"AI820050",1.78374116666666,0.686204465329577
"AA721240",1.31618066666666,0.687489645518244
"C20orf203",1.16588,0.687489645518244
"USP46",1.45576133333333,0.687489645518244
"SEC22A",1.19874499999999,0.687489645518244
"TIAL1",1.11729416666666,0.687489645518244
"PDRG1",1.363689,0.687489645518244
"DSP",-2.69898716666667,0.687489645518244
"LMBR1L",1.20389016666666,0.690587087432824
"IL4R",-1.903922,0.691079895865832
"SETDB1",0.911669333333332,0.691079895865832
"FAM13A",-1.67406233333334,0.691079895865832
"AK095621",0.820854333333332,0.691079895865832
"GCH1",-2.82580716666668,0.691079895865832
"227432_s_at",-1.69417833333334,0.691079895865832
"SLC35F4",3.17786983333333,0.691079895865832
"MTERF4",1.47832183333333,0.691079895865832
"EML4",1.56385116666666,0.691079895865832
"FNDC5",2.430919,0.691079895865832
"MIRLET7D",1.63270466666666,0.691079895865832
"IGFBP5",-2.0540395,0.691079895865832
"AU153281",2.52316183333333,0.691079895865832
"CISD1",-1.03155666666667,0.691079895865832
"ELOVL2",3.141162,0.691079895865832
"ZFYVE28",-1.69910616666667,0.691079895865832
"AKAP12",-2.91248833333334,0.691079895865832
"TMOD2",-1.55169633333334,0.693866302473851
"SHMT2",-1.75744983333333,0.697531592284151
"PDZRN4",4.1715665,0.700877346016289
"GPR173",0.776648666666665,0.7046629794459
"AW025766",1.796365,0.7046629794459
"COQ4",1.15603166666666,0.7046629794459
"RGS3",1.586669,0.711306393353151
"STX4",1.27124316666667,0.711306393353151
"TLE2",1.27624133333333,0.711306393353151
"CREB3L4",1.29113216666666,0.711306393353151
"BC037943",-2.98057466666667,0.711306393353151
"RECQL5",0.614027833333331,0.711306393353151
"MAF",0.650016833333332,0.711306393353151
"OCLN",-1.54421166666667,0.711890391475813
"PKP2",-4.08539116666667,0.71351847576406
"CFI",-1.72497583333333,0.71351847576406
"TAF1L",1.65074016666666,0.71351847576406
"KIAA0753",1.03924316666666,0.720215577191952
"DNAJC30",1.20538266666666,0.720215577191952
"PCNX4",1.2086605,0.720215577191952
"BE504582",0.563397999999999,0.720215577191952
"GLE1",0.803864999999998,0.72359634565855
"WDR37",0.694766666666659,0.726525117538537
"AL036532",-1.1255245,0.733169569216817
"MGMT",-2.3772025,0.733169569216817
"LIG4",-1.84103316666668,0.734206284535032
"C11orf63",-1.44376183333334,0.734206284535032
"AI218358",-3.39263983333334,0.734206284535032
"CAMK2G",1.477299,0.734206284535032
"ARL16",1.09030083333333,0.734206284535032
"OGN",5.47849533333333,0.734206284535032
"PPM1L",-1.4959,0.734206284535032
"CBX3",-1.52390550000001,0.734206284535032
"USP13",-1.53368800000001,0.734206284535032
"DPP7",2.30418616666666,0.734206284535032
"SLC12A6",-0.96713566666667,0.734206284535032
"LOC101060712",1.42900916666666,0.734206284535032
"TRIL",2.12565316666666,0.734206284535032
"STX16",0.803533333333331,0.734206284535032
"FAR2P3",-1.42406683333333,0.734206284535032
"SPATA6L",-0.591592666666669,0.734206284535032
"RAB29",-2.16102033333333,0.734206284535032
"SRCIN1",3.113671,0.734206284535032
"MAP2K1",-1.09611783333333,0.734206284535032
"LOC101929132",1.53600533333333,0.734206284535032
"TSC22D2",-1.88908466666667,0.734206284535032
"IP6K1",1.03974233333333,0.734206284535032
"QPCT",-3.30007066666667,0.734206284535032
"SRSF6",-4.95283483333334,0.734206284535032
"ARSD",1.25069166666667,0.734206284535032
"AA868500",2.3531975,0.734206284535032
"MOB1A",-1.81975366666667,0.734206284535032
"XPR1",-1.16483766666667,0.734206284535032
"AK023838",0.778586166666666,0.734206284535032
"PRELID2",2.5523895,0.734206284535032
"TGFBR3",-4.737624,0.734206284535032
"240654_at",2.57266966666667,0.734206284535032
"SRRM4",-2.09223583333334,0.734206284535032
"WDR1",-0.914155000000008,0.734206284535032
"C20orf196",1.61951966666666,0.734206284535032
"FAM13A",-1.61652716666667,0.734206284535032
"UBE2G1",-0.918192000000008,0.734206284535032
"ANKS6",1.28354483333333,0.734206284535032
"RPS6KA3",-1.11227616666667,0.734206284535032
"TAS2R45",1.40632166666667,0.740482058934983
"SLC16A7",-1.33307216666667,0.744160817848838
"ABCC10",0.817995166666662,0.754169397353167
"MCOLN3",-3.868252,0.755092718475907
"LRRFIP1",-1.69100750000001,0.755092718475907
"ATG4C",-1.2882905,0.755281586708841
"ELK3",-2.63712416666667,0.756380749276088
"AU151944",1.64519666666666,0.756380749276088
"RBM19",1.03363866666666,0.756380749276088
"SPAG9",-0.96764116666667,0.759304732111291
"TMEM56",-1.76895633333334,0.759304732111291
"GFAP",-3.95948516666667,0.759304732111291
"ZNF544",0.740789666666664,0.759304732111291
"CTSZ",-3.3336715,0.761341303276944
"AU147668",3.0476795,0.761341303276944
"TBP",0.749741333333327,0.761341303276944
"DUSP22",-1.28515333333333,0.76529309099481
"PTCHD1",-0.661049333333336,0.76529309099481
"ARSD",1.22916133333333,0.765504964863002
"PRSS22",-1.89840583333334,0.765504964863002
"TSHZ2",-1.4829335,0.765504964863002
"AK026269",1.199998,0.765504964863002
"CACNA1C",1.4394315,0.765504964863002
"SLC25A10",1.00040416666667,0.765504964863002
"A2ML1",2.76349366666667,0.765504964863002
"SYNE1",1.77607966666666,0.765504964863002
"EPN2-IT1",-0.899923666666671,0.765504964863002
"236486_at",2.2543555,0.765504964863002
"USP19",0.983655499999998,0.765504964863002
"DPY19L1",0.447525499999998,0.765504964863002
"ACSM2B",0.476812333333332,0.765504964863002
"BTF3L4",1.0881945,0.765504964863002
"TMEM38B",-1.47411550000001,0.765504964863002
"AL831855",1.4578305,0.765504964863002
"ZNF628",0.671964999999999,0.765504964863002
"TCTN3",1.33344266666666,0.765504964863002
"230274_s_at",1.589875,0.765504964863002
"CCDC115",0.884471333333323,0.765504964863002
"CAST",-1.42590833333334,0.765504964863002
"NFX1",1.314745,0.765504964863002
"NOLC1",-1.33102800000001,0.765504964863002
"CCDC158",2.14674716666667,0.765504964863002
"INTS7",1.27093033333333,0.765504964863002
"RAB28",-0.756777166666673,0.765504964863002
"LAT",1.32217933333333,0.765504964863002
"ARHGAP1",1.09748866666666,0.765504964863002
"MYO10",-3.78595933333334,0.765657060605143
"AI373107",3.0063115,0.765657060605143
"GPR158",-1.67994133333334,0.765657060605143
